frame,label,mean_Cy3,mean_GFP,mean_ratio_Cy3/GFP,mean_ratio_GFP/Cy3,std_Cy3,std_GFP,std_ratio_Cy3/GFP,std_ratio_GFP/Cy3,Y,X,log_mean_ratio_GFP/Cy3
100,9750,2427.35384615,633.384615385,3.83686158144,0.269143029228,422.67279327800003,38.7682234301,0.654791817037,0.050743257649600006,5645.0,2187.5,-1.3125123335191808
100,9751,263.15,767.561627907,0.35074760622199996,2.93581229175,21.8335577537,116.016737634,0.0606038668219,0.500553907156,5644.0,3319.5,1.0769841753807903
100,9752,711.772511848,790.142180095,0.890975938082,1.16416621816,172.424282174,96.2153177397,0.153009864358,0.25158637384599997,5644.0,2858.5,0.1520051382209535
100,9753,325.877758913,581.996604414,0.5610559862910001,1.81253722059,40.6294531036,33.165428673499996,0.07185054274069999,0.239041816033,5647.0,3172.5,0.5947276430337735
100,9754,269.653102747,1033.87182096,0.29019528444000003,3.8422632213,15.283709238699998,343.741314659,0.09284360697920001,1.28641176191,5646.5,5797.0,1.34606157353001
100,9755,272.786557675,1247.02452316,0.24208358343199998,4.58172292546,22.1853893271,400.465519689,0.0783225650819,1.46230503919,5646.5,8557.0,1.5220751119846612
100,9756,264.455230914,974.110273327,0.28774266784200003,3.7082539686400002,22.7897641315,233.576285904,0.0736081913257,0.940884498254,5648.0,785.5,1.310561137440118
100,9757,935.80148423,595.0287569569999,1.5674968837799999,0.797360201239,392.46724160199994,36.1119177227,0.644406233066,0.41918880898,5654.5,1506.0,-0.22644875594135883
100,9758,1069.87228916,683.804819277,1.52229165977,0.839476235391,511.904803912,70.1930074155,0.644357595435,0.466418115607,5647.5,2464.5,-0.1749771109164429
100,9759,265.016144349,1028.94681861,0.284637562341,3.9123761199500002,23.0906945804,329.715879621,0.09075551841019999,1.30904460784,5647.0,4156.0,1.364144892732412
100,9760,270.49048152299997,718.25643897,0.38330832783299995,2.69158494885,32.9359412373,90.08782746780001,0.07251736242739999,0.45459307345399996,5647.0,3358.5,0.9901302204193783
100,9761,325.389033943,577.95691906,0.564622666427,1.8194901825,50.8276675222,34.0989877251,0.09244394767519999,0.30081122254799997,5651.0,3468.5,0.5985563423424126
