index,X,Y,cell_type
867,3365,3139,2
868,3356,3169,2
869,3343,3207,2
870,3384,3225,2
871,3395,3184,2
872,3428,3169,2
873,3430,3230,2
874,3405,3324,2
875,3382,3365,2
876,3359,3402,2
877,3385,3423,2
878,3392,3486,2
879,3385,3530,2
880,3440,3521,2
881,3490,3495,2
882,3656,3531,2
883,3485,3645,2
884,3468,3694,2
885,3540,3693,2
886,3132,9,2
887,2840,39,2
888,2771,130,2
889,2802,228,2
890,3084,165,2
891,3072,204,2
892,3033,190,2
893,3064,268,2
894,3098,314,2
895,3100,492,2
896,2989,326,2
897,2933,325,2
898,2940,264,2
899,2851,428,2
900,2925,428,2
901,2828,480,2
902,2762,460,2
903,2592,372,2
904,2589,463,2
905,2641,433,2
906,2644,489,2
907,2576,544,2
908,2709,578,2
909,2676,1,2
910,2623,27,2
911,2579,43,2
912,2574,1,2
913,2561,170,2
914,2629,630,2
915,2716,652,2
916,2756,617,2
917,2791,651,2
918,2794,691,2
919,2758,715,2
920,2745,696,2
921,3006,725,2
922,2987,772,2
923,2966,761,2
924,2918,790,2
925,2645,708,2
926,2606,717,2
927,2643,734,2
928,2657,755,2
929,2730,780,2
930,2660,802,2
931,2632,813,2
932,2602,783,2
933,2609,828,2
934,2651,852,2
935,2687,862,2
936,2743,854,2
937,2714,918,2
938,2635,906,2
939,2618,879,2
940,2578,902,2
941,2570,859,2
942,2575,834,2
943,2564,747,2
944,2593,960,2
945,2622,1003,2
946,2589,1067,2
947,2633,1142,2
948,2727,1113,2
949,2788,1150,2
950,2760,1199,2
951,2819,1191,2
952,3102,1147,2
953,3111,1341,2
954,3055,1270,2
955,3027,1266,2
956,2771,1300,2
957,2739,1322,2
958,2674,1307,2
959,2684,1277,2
960,2602,1273,2
961,2569,1305,2
962,2623,1236,2
963,2562,1375,2
964,2609,1337,2
965,2608,1438,2
966,2933,1738,2
967,3001,1772,2
968,2951,1772,2
969,2881,1774,2
970,2891,1834,2
971,2930,1829,2
972,2922,1859,2
973,2919,1904,2
974,2858,1960,2
975,2803,1936,2
976,2809,1891,2
977,2781,1859,2
978,2826,1840,2
979,2861,1874,2
980,2885,2034,2
981,2832,2016,2
982,2659,2500,2
983,2680,2517,2
984,2711,2479,2
985,2779,2455,2
986,2805,2529,2
987,2778,2579,2
988,2701,2586,2
989,2685,2605,2
990,2643,2585,2
991,2635,2559,2
992,2640,2831,2
993,2698,2851,2
994,2595,2920,2
995,2767,3124,2
996,2819,3182,2
997,2766,3199,2
998,2849,3220,2
999,2881,3236,2
1000,2829,3260,2
1001,2804,3264,2
1002,2776,3257,2
1003,2837,3299,2
1004,2810,3326,2
1005,2763,3307,2
1006,2721,3302,2
1007,2691,3316,2
1008,2691,3351,2
1009,2769,3350,2
1010,2768,3373,2
1011,2607,3426,2
1012,2670,3465,2
1013,2732,3464,2
1014,2680,3522,2
1015,2729,3527,2
1016,2768,3519,2
1017,2820,3492,2
1018,2829,3556,2
1019,2934,3519,2
1020,3021,3453,2
1021,3046,3577,2
1022,3068,3602,2
1023,3028,3621,2
1024,3019,3657,2
1025,2997,3671,2
1026,2952,3689,2
1027,2572,3619,2
1028,2543,35,2
1029,2483,40,2
1030,2452,18,2
1031,2411,31,2
1032,2421,70,2
1033,2400,98,2
1034,2370,81,2
1035,2513,106,2
1036,2529,159,2
1037,2502,175,2
1038,2524,201,2
1039,2489,265,2
1040,2505,289,2
1041,2452,193,2
1042,2384,170,2
1043,2322,172,2
1044,2285,172,2
1045,2238,157,2
1046,2243,1,2
1047,2297,6,2
1048,2220,48,2
1049,2158,55,2
1050,2094,22,2
1051,2065,32,2
1052,2322,211,2
1053,2254,199,2
1054,2232,206,2
1055,2015,51,2
1056,2012,1,2
1057,2000,366,2
1058,2014,402,2
1059,2106,351,2
1060,2131,378,2
1061,2168,402,2
1062,2206,407,2
1063,2212,392,2
1064,2240,366,2
1065,2265,365,2
1066,2288,338,2
1067,2309,343,2
1068,2348,306,2
1069,2282,310,2
1070,2228,305,2
1071,2324,244,2
1072,2373,237,2
1073,2423,231,2
1074,2517,352,2
1075,2546,354,2
1076,2506,380,2
1077,2541,397,2
1078,2561,409,2
1079,2530,448,2
1080,2548,481,2
1081,2543,550,2
1082,2498,549,2
1083,2481,509,2
1084,2436,553,2
1085,2443,590,2
1086,2488,577,2
1087,2468,443,2
1088,2434,440,2
1089,2394,445,2
1090,2407,485,2
1091,2395,517,2
