ObjectNumber,Area,Compactness,Eccentricity,EulerNumber,Intensity_MEAN,Intensity_MEDIAN,Location_X,Location_Y,FirstClosestDistance,NumberOfNeighbors,PercentTouching,SecondClosestDistance,C19H24N2O2,C45H86O13P,C48H81NO10P,C10H14N5O7P
2002,3469,1.2283632550013797,0.7882700032287133,1.0,0.01501905201534526,0.013153277337551115,1863.6976073796477,1360.8947823580284,64.7941675512985,2.0,20.414201183431953,80.95085367842654,2663.531330506494,2175.896900387629,5722.351501839292,167.40188299073762
2008,2699,6.512732046178019,0.9913506249926388,1.0,0.011941205222599923,0.011444266885519028,1710.4094108929235,1373.855131530197,86.63042649176542,2.0,5.058365758754863,93.68757810112905,3268.1519545816805,424.36689983387197,1131.1594464631646,404.7665565940975
2011,3290,1.1614224438258465,0.6842653420551748,1.0,0.012856111014799687,0.012314030900597572,1432.6203647416414,1341.5112462006077,60.511450979033576,3.0,46.264367816091955,63.91926403956865,5521.397620474938,3638.4476257928527,7957.996770575495,241.1683802840733
2018,3154,1.498844567601682,0.8934333049421522,1.0,0.015378573591086818,0.01441977545619011,640.166138237159,1365.122067216233,62.32943584187424,3.0,33.73134328358209,65.00264186061645,3565.0424184647827,2151.8589593796505,6889.803707062252,453.4976983448816
2032,2442,3.1348022665694635,0.977243621683992,1.0,0.012678285265519885,0.011688411235809326,349.87796887796867,1402.7518427518426,68.24128702744015,2.0,3.9506172839506166,69.5308522368122,3920.976155294641,2047.1382938328693,5231.372808005734,459.1634155891311
2038,4292,1.635236250179579,0.9044744347521358,1.0,0.01456263893043478,0.012390325777232649,141.03937558247958,1400.675442684064,79.6671735000383,1.0,2.244389027431421,81.69186971407821,3199.0592232637628,2454.609710338504,6975.324850747751,399.5406406202982
2043,2584,1.7464395747889192,0.9333229717287655,1.0,0.014997581346717378,0.01451133005321026,1363.880804953561,1410.5541795665636,38.86261274802017,2.0,28.39506172839507,97.42717140323313,255.34769733791245,73.80123688255608,251.89588996418357,0.0
2047,2235,1.2360823251171569,0.7760760419514546,1.0,0.013752563985302144,0.011490043252706528,1172.4,1436.422371364653,72.26750815686046,0.0,0.0,103.56489138562466,4965.387570085197,939.9825952464136,3479.499258107153,187.73070151230385
2048,6071,1.7919049733064254,0.7346500605271133,1.0,0.01638655590425469,0.012726024724543095,47.16224674682917,1409.5168835447212,66.31946972402726,7.0,51.662049861495845,70.74717041929618,2930.9431339519538,3044.636137057052,7513.9223267254,224.56862767878346
2049,2351,3.7007936579145753,0.97299507597864,1.0,0.013932272442467973,0.0119935916736722,1529.5874096129305,1403.9064227988092,62.445554133309,1.0,4.645476772616137,100.96478004050314,2673.018786976639,1884.205014126972,5173.732092403671,317.07218947919824
2052,2524,3.1690396924499526,0.9799237127033278,1.0,0.01695768846654246,0.01472495589405298,456.2396988906487,1426.5087163232965,83.58326440599656,2.0,13.294797687861273,85.41297230296856,3273.657374472513,1734.4643920007413,4018.262308608006,175.8920813233313
2056,2480,1.1513399051894238,0.7358648333003027,1.0,0.02044956289727481,0.0156710147857666,536.8528225806451,1448.5923387096773,37.11671956160485,3.0,54.9645390070922,73.65241403247475,2513.0262810202207,2308.3561868106617,5876.500095741422,203.7944210276885
2061,1471,1.428012115249276,0.8550987402198512,1.0,0.012203452131127841,0.011688411235809326,1100.974847042828,1447.4242012236573,72.26750815686046,0.0,0.0,81.47214487200337,5109.339177058293,1138.0048161433294,2861.225724909856,0.0
2062,2024,1.3605054598202024,0.8912444995151959,1.0,0.011295053805132571,0.010513465851545334,309.20800395256856,1457.549901185771,68.24128702744015,0.0,0.0,97.19104348145108,6672.677978515625,1807.7661786760605,5266.634898158482,748.5656594412668
2063,2900,2.024212093402408,0.961584465959022,1.0,0.02176252761438232,0.019729916006326675,647.1144827586204,1471.7158620689656,40.38556892687479,2.0,26.404494382022467,72.76162857704256,5815.751703969282,3056.2120244354555,9142.199948954652,677.7034868842168
2065,1971,1.2574299170952814,0.8083646096635809,1.0,0.02026367153384581,0.01937132887542248,21.34956874682871,1470.6067985794011,46.995769860564366,3.0,74.04580152671755,47.29094873531906,874.8362426757811,628.0126342773438,1341.6317138671875,134.60282897949222
2068,2530,1.533142730601242,0.895269688223483,1.0,0.013986739246616428,0.013290608301758766,684.7494071146248,1457.0664031620563,40.38556892687479,4.0,17.365269461077844,92.91927371356053,4067.248338503011,1965.7258304692648,6484.064087053348,486.9745386769793
2077,4235,1.6755607929009604,0.9198260345514648,1.0,0.012661450065522856,0.011596856638789177,1695.9629279811097,1466.4221959858323,45.777454307797505,2.0,35.981308411214954,92.79171402249321,4005.745999849327,2765.732813081765,7039.149870862968,352.62389331351164
2084,2877,1.3851907031850217,0.620752086875806,1.0,0.01626020372606656,0.0156252384185791,1562.372610358012,1457.0531803962463,44.10202168162403,2.0,35.09316770186335,62.445554133309,2091.675805228097,1735.2656947544642,4352.912131173271,70.84083689962115
